127.0.0.1 - - [18/Jan/2024:09:44:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jan/2024:09:44:44 +0900] "GET /jsp01/ch04/d.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [18/Jan/2024:09:44:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:36:53 +0900] "GET /jsp01/ch04/%E3%85%95%E3%84%B4%EB%93%80%EB%91%A01.jsp HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:01 +0900] "GET /jsp01/ch04/usebean1.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:09 +0900] "GET /jsp01/ch04/useBean1.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:10 +0900] "GET /jsp01/ch04/useBean1.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:16 +0900] "GET /jsp01/ch04/useBean1.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:22 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:37:22 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:38:07 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:38:07 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:38:08 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:07 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:26 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:34 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:35 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:35 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:35 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:36 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:36 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:36 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:36 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:37 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:37 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:37 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:38 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:38 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:38 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:38 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:39 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:39 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Jan/2024:10:43:39 +0900] "GET /jsp01/ch004/useBean1.jsp HTTP/1.1" 200 246
